MSA,MSA_old,PINCPC,POP,PINC,EMP,cbsa,RGDP,RGDPPC,D2I_Low,D2I_H,WRLURI,elasticity,FE_Y_G2,FE_Y_G3,FE_Y_G4,FE_NoY_G2,FE_NoY_G3,FE_NoY_G4,PINCPC_Top10,FE_Y_PoorG3_1,FE_NoY_PoorG3_1
"Hattiesburg, MS","Hattiesburg, MS",37066,167.764,6218355,95.65,25620,5818906,34685.0695,1.315,1.43,,,1,2,1,1,1,1,0,0,0
"Hickory-Lenoir-Morganton, NC","Hickory-Lenoir-Morganton, NC",38119,367.004,13989716,198.295,25860,13716423,37374.04224,1.2875,1.4,-0.57666487,2.4136906,1,2,2,1,1,1,0,0,0
"Hilton Head Island-Bluffton, SC","Hilton Head Island-Bluffton-Beaufort, SC",50351,214.89,10819864,123.086,25940,7299580,33968.91433,2.57,,,,1,2,2,2,2,2,0,0,0
"Hinesville, GA","Hinesville, GA",32322,80.518,2602511,41.824,25980,3323217,41272.97002,2.1,2.57,,,2,3,3,2,3,3,0,0,0
"Homosassa Springs, FL","Homosassa Springs, FL",36614,145.512,5327715,49.862,26140,3414707,23466.84122,2.4525,2.57,,,2,3,3,2,3,3,0,0,0
"Hot Springs, AR","Hot Springs, AR",38629,98.444,3802782,52.438,26300,3003768,30512.45378,1.595,1.765,,,1,2,2,2,1,1,0,0,0
"Houma-Thibodaux, LA","Houma-Thibodaux, LA",41605,209.893,8732516,114.068,26380,9201863,43840.73314,1.315,1.43,,,1,2,2,1,1,1,0,0,0
"Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX",53479,6905.695,369310576,4180.623,26420,432329249,62604.7413,0.9575,1.1725,0.12848938,1.7410723,1,2,2,1,1,1,0,0,0
"Huntington-Ashland, WV-KY-OH","Huntington-Ashland, WV-KY-OH",37901,361.897,13716169,172.97,26580,14475058,39997.72864,1.315,1.43,-1.2046235,1.810303,2,2,2,2,2,2,0,0,0
"Huntsville, AL","Huntsville, AL",47442,455.741,21621268,294.365,26620,24113355,52910.21655,1.2875,1.4,-1.2436147,2.848342,2,3,3,2,2,3,0,0,0
"Idaho Falls, ID","Idaho Falls, ID",43646,145.792,6363267,91.395,26820,6200669,42530.92762,1.315,1.43,,,2,3,3,1,1,1,0,0,0
"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",52221,2026.723,105838229,1332.514,26900,122143721,60266.60821,1.1175,1.2325,-0.7448606,4.0038266,2,2,2,2,2,2,0,0,0
"Iowa City, IA","Iowa City, IA",50819,171.47,8713868,131.233,26980,9364567,54613.44258,1.3425,1.46,-0.83003175,4.4204044,1,2,2,1,1,2,0,0,0
"Ithaca, NY","Ithaca, NY",43466,102.678,4462964,69.929,27060,5355968,52162.76125,0.51,1.02,,,1,1,1,1,1,1,0,0,0
"Jackson, MI","Jackson, MI",38031,158.69,6035203,75.398,27100,5525960,34822.35806,1.4,1.525,,,2,2,4,2,2,4,0,0,0
"Jackson, MS","Jackson, MS",42035,599.401,25195571,383.21,27140,25053951,41798.31365,1.3425,1.46,-0.72970307,3.0016487,1,2,2,1,1,1,0,0,0
"Jackson, TN","Jackson, TN",38565,178.304,6876327,106.452,27180,7384394,41414.62895,1.0525,1.1775,-1.1300251,5.063777,2,3,3,2,3,4,0,0,0
"Jacksonville, FL","Jacksonville, FL",47830,1504.841,71976123,909.377,27260,71661716,47620.78917,1.675,1.8825,-0.022161968,1.0591615,2,3,3,2,3,3,0,0,0
"Jacksonville, NC","Jacksonville, NC",44836,194.838,8735704,115.95,27340,8005278,41086.84138,2.57,,,,1,2,1,1,1,1,0,0,0
"Janesville-Beloit, WI","Janesville-Beloit, WI",42189,162.32,6848101,85.315,27500,6634276,40871.58699,1.2325,1.3425,-0.27588543,3.3310556,1,2,1,2,1,2,0,0,0
"Jefferson City, MO","Jefferson City, MO",42259,151.298,6393676,101.279,27620,6468973,42756.50042,1.1175,1.2325,,,2,2,2,2,2,4,0,0,0
"Johnson City, TN","Johnson City, TN",38673,201.844,7805861,106.274,27740,6805407,33716.1719,1.56,1.72,-0.8663563,1.3518708,2,3,3,2,3,4,0,0,0
"Johnstown, PA","Johnstown, PA",40721,133.054,5418137,66.721,27780,4455663,33487.62908,1.205,1.315,0.4373934,1.8350359,1,2,2,2,2,1,0,0,0
"Jonesboro, AR","Jonesboro, AR",35330,131.158,4633788,76.95,27860,4463753,34033.40246,1.4325,1.565,,,2,3,4,2,3,4,0,0,0
"Joplin, MO","Joplin, MO",38856,178.33,6929259,102.375,27900,7030145,39422.11069,1.085,1.205,-1.3846338,6.3960743,2,3,4,2,3,4,0,0,0
"Kahului-Wailuku-Lahaina, HI","Kahului-Wailuku-Lahaina, HI",47322,166.491,7878703,108.761,27980,9073660,54499.40237,2.1,2.57,,,1,1,1,1,1,1,0,0,0
"Kalamazoo-Portage, MI","Kalamazoo-Portage, MI",46675,263.001,12275693,155.827,28020,12087272,45959.03438,1.205,1.315,0.04513974,2.4802504,2,3,4,2,3,4,0,0,0
"Kankakee, IL","Kankakee, IL",39602,110.544,4377733,56.624,28100,4366489,39500.00905,1.1775,1.2875,0.001125134,3.1808586,2,3,4,2,2,4,0,0,0
"Kansas City, MO-KS","Kansas City, MO-KS",51717,2127.259,110016377,1389.62,28140,117992341,55466.84301,1.1775,1.2875,-0.79256713,3.1908052,2,2,2,2,2,4,0,0,0
"Kennewick-Richland, WA","Kennewick-Richland, WA",43064,290.57,12513028,152.252,28420,13583256,46746.93189,1.525,1.675,0.7886852,2.2897198,1,1,1,1,1,1,0,0,0
"Killeen-Temple, TX","Killeen-Temple, TX",40717,443.653,18064319,229.364,28660,16523551,37244.31256,1.675,1.8825,-1.0092105,4.5897794,2,3,3,2,2,3,0,0,0
"Kingsport-Bristol, TN-VA","Kingsport-Bristol-Bristol, TN-VA",38369,306.253,11750493,158.483,28700,11775436,38450.02661,1.3725,1.495,,,1,2,3,2,3,3,0,0,0
"Kingston, NY","Kingston, NY",48508,178.723,8669500,91.007,28740,6184371,34603.10648,2.0275,2.4525,,,1,1,2,2,2,1,0,0,0
"Knoxville, TN","Knoxville, TN",43770,852.673,37321823,508.476,28940,37689515,44201.60484,1.315,1.43,-0.37212443,1.4200677,2,3,3,2,3,4,0,0,0
"Kokomo, IN","Kokomo, IN",39916,82.311,3285555,49.953,29020,5268619,64008.68657,0.51,1.02,-0.95596826,4.9113264,2,3,4,2,3,4,0,0,0
"La Crosse-Onalaska, WI-MN","La Crosse-Onalaska, WI-MN",48094,136.778,6578165,97.155,29100,6817787,49845.64038,0.6375,1.0525,0.41301635,2.178696,2,3,3,2,2,4,0,0,0
"Lafayette, LA","Lafayette, LA",41832,490.107,20502118,286.617,29180,20970840,42788.28909,1.3425,1.46,-1.0335966,4.844548,2,2,2,1,1,1,0,0,0
"Lafayette-West Lafayette, IN","Lafayette-West Lafayette, IN",37534,228.535,8577730,127.572,29200,9241476,40437.90229,1.205,1.315,-0.3441132,2.484033,1,2,2,1,1,1,0,0,0
"Lake Charles, LA","Lake Charles, LA",46206,209.256,9668869,143.33,29340,15880707,75891.28627,0.51,1.02,-1.0483427,2.322959,2,3,3,2,3,4,0,0,0
"Lake Havasu City-Kingman, AZ","Lake Havasu City-Kingman, AZ",31742,207.114,6574242,69.977,29420,4900560,23661.17211,2.57,,,,2,2,2,1,1,2,0,0,1
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",34591,685.83,23723273,301.085,29460,21816610,31810.52156,1.72,1.955,0.2610534,1.563471,2,3,3,2,3,3,0,0,0
"Lancaster, PA","Lancaster, PA",49961,541.054,27031379,334.809,29540,25768354,47626.21476,1.3425,1.46,0.28924814,2.2425003,1,2,2,1,1,1,0,0,0
"Lansing-East Lansing, MI","Lansing-East Lansing, MI",39981,548.812,21942006,300.251,29620,21810294,39740.92039,1.085,1.205,0.1927484,2.5759208,2,3,4,2,3,4,0,0,0
"Laredo, TX","Laredo, TX",30153,273.982,8261470,142.17,29700,12794056,46696.7027,1.02,1.15,,,1,2,1,1,1,1,0,0,1
"Las Cruces, NM","Las Cruces, NM",35144,216.186,7597698,100.148,29740,6712348,31048.94859,1.63,1.81,,,2,2,2,2,2,4,0,0,0
"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",45087,2183.31,98439211,1306.107,29820,101392420,46439.77264,1.63,1.81,-0.6918355,1.385496,1,2,1,1,1,1,0,0,0
"Lawrence, KS","Lawrence, KS",41899,120.629,5054290,73.719,29940,4404306,36511.17061,1.4,1.525,-0.5781117,3.8567474,2,2,3,2,3,4,0,0,0
"Lawton, OK","Lawton, OK",39614,127.589,5054333,68.739,30020,4512201,35365.12552,1.63,1.81,,,2,3,3,2,3,3,0,0,0
"Lebanon, PA","Lebanon, PA",46194,139.566,6447129,67.479,30140,5473599,39218.71373,1.765,2.0275,,,1,1,1,1,1,1,0,0,0
"Lewiston, ID-WA","Lewiston, ID-WA",43771,62.881,2752378,36.518,30300,2515313,40001.16092,1.595,1.765,,,1,3,3,1,1,1,0,0,0
"Lewiston-Auburn, ME","Lewiston-Auburn, ME",39600,107.569,4259690,62.683,30340,4147966,38560.97946,1.085,1.205,0.9728033,2.2408197,2,3,4,2,3,4,0,0,0
"Lexington-Fayette, KY","Lexington-Fayette, KY",46387,512.732,23783859,356.827,30460,25865000,50445.45689,1.1775,1.2875,0.1869609,2.6255813,2,3,3,2,3,3,0,0,0
"Lima, OH","Lima, OH",40712,103.069,4196097,63.99,30620,7249480,70336.18256,0.51,1.02,-0.88453645,4.628184,2,3,4,2,3,4,0,0,0
"Lincoln, NE","Lincoln, NE",47575,331.179,15755684,231.07,30700,17029139,51419.7428,1.1775,1.2875,0.7611754,2.6234624,1,2,2,1,1,1,0,0,0
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",43901,737.991,32398653,459.487,30780,33865487,45888.75339,1.315,1.43,-0.84868586,2.7923145,2,3,3,2,3,3,0,0,0
"Logan, UT-ID","Logan, UT-ID",37269,138.052,5145071,83.619,30860,4983857,36101.30241,1.56,1.72,,,2,3,4,2,2,3,0,0,0
"Longview, TX","Longview, TX",39526,285.134,11270199,170.163,30980,15519519,54428.86152,1.2325,1.3425,-1.2839355,4.74681,2,3,4,2,3,3,0,0,0
"Longview, WA","Longview, WA",43046,106.9,4601607,50.108,31020,4351020,40701.77736,1.81,2.1,,,2,3,4,2,2,3,0,0,0
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",60649,13298.709,806547539,8685.121,31080,912491020,68615.00767,1.765,2.0275,0.49499214,0.6265944,1,1,1,1,1,1,1,0,0
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",48163,1260.391,60704406,819.134,31140,62960211,49952.92017,1.0525,1.1775,-0.46531576,2.3400092,2,3,3,2,3,3,0,0,0
"Lubbock, TX","Lubbock, TX",40416,316.588,12795311,198.855,31180,12693422,40094.45083,1.1175,1.2325,-0.7404839,4.326721,2,3,3,2,2,4,0,0,0
"Lynchburg, VA","Lynchburg, VA",38720,261.954,10142865,136.887,31340,9248387,35305.38568,1.56,1.72,-0.8257174,2.8959186,2,3,3,2,3,3,0,0,0
"Macon-Bibb County, GA","Macon, GA",39399,229.081,9025569,136.684,31420,10088993,44041.16011,1.1175,1.2325,-0.83931273,3.620202,2,3,3,2,3,3,0,0,0
"Madera, CA","Madera, CA",38062,155.904,5933946,64.699,31460,6658105,42706.44114,1.81,2.1,,,1,1,1,1,1,1,0,0,0
"Madison, WI","Madison, WI",56695,654.577,37111247,506.517,31540,45492200,69498.62277,1.085,1.205,0.40438956,2.2471561,1,2,2,2,2,2,1,0,0
"Manchester-Nashua, NH","Manchester-Nashua, NH",58305,413.157,24089099,272.444,31700,24782415,59983.04519,1.4025,1.53,,,1,1,1,1,1,1,1,0,0
"Manhattan, KS","Manhattan, KS",44212,131.587,5817725,90.114,31740,6308970,47945.23775,1.085,1.205,,,1,2,2,1,2,2,0,0,0
"Mankato, MN","Mankato-North Mankato, MN",44871,100.945,4529513,71.585,31860,5537542,54857.02115,1.315,1.43,,,2,3,4,2,3,4,0,0,0
"Mansfield, OH","Mansfield, OH",37865,120.543,4564417,64.605,31900,4324887,35878.37535,1.1775,1.2875,-0.90952533,4.3915715,2,3,4,2,3,4,0,0,0
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",25451,858.323,21845363,375.913,32580,20381184,23745.3546,1.3425,1.46,-0.44865185,3.6774044,2,3,3,2,3,3,0,0,0
"Medford, OR","Medford, OR",44533,216.761,9653010,122.841,32780,7957275,36709.90169,2.1,2.57,0.84818846,1.38683,2,3,4,2,2,3,0,0,0
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",44655,1339.29,59806264,850.468,32820,66457886,49621.72942,1.02,1.15,1.1808224,1.7646465,2,3,3,2,3,4,0,0,0
"Merced, CA","Merced, CA",38037,271.34,10320877,104.048,32900,9504388,35027.59637,1.675,1.8825,0.63786805,2.3867307,1,1,1,1,1,1,0,0,0
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",54409,6149.687,334597043,3968.762,33100,306141923,49781.70808,1.495,1.64,0.83278453,0.62442166,2,3,3,2,3,4,0,0,0
"Michigan City-La Porte, IN","Michigan City-La Porte, IN",40561,109.911,4458143,53.246,33140,3848432,35014.07502,1.46,1.595,,,2,3,3,2,2,4,0,0,0
"Midland, MI","Midland, MI",58229,83.245,4847268,47.327,33220,4882666,58654.16542,0.8575,1.1675,,,2,3,4,2,2,4,1,0,0
"Midland, TX","Midland, TX",108595,170.948,18564171,146.966,33260,28703870,167909.9492,0.51,1.02,,,2,2,2,1,1,1,1,0,0
"Milwaukee-Waukesha, WI","Milwaukee-Waukesha-West Allis, WI",54216,1575.151,85397956,1054.13,33340,90473698,57438.11101,1.085,1.205,0.4569242,1.0286416,1,2,1,1,1,2,0,0,0
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",60167,3577.765,215263552,2503.165,33460,231078542,64587.40079,1.2875,1.4025,0.377654,1.4473755,1,2,2,2,2,4,1,0,0
"Missoula, MT","Missoula, MT",47086,117.863,5549745,83.918,33540,4844547,41103.20457,1.765,2.0275,,,1,2,2,1,1,1,0,0,0
"Mobile, AL","Mobile, AL",36705,431.047,15821495,242.879,33660,18417975,42728.46117,1.1175,1.2325,-0.9985673,2.0380118,2,3,3,1,1,2,0,0,1
"Modesto, CA","Modesto, CA",42354,545.267,23094445,247.366,33700,21993425,40335.14773,1.765,2.0275,0.24703155,2.1665163,1,1,1,1,1,1,0,0,0
"Monroe, LA","Monroe, LA",38726,203.898,7896114,116.52,33740,8411633,41254.12216,1.3425,1.46,-0.85972834,3.5773146,2,2,3,2,2,4,0,0,0
"Monroe, MI","Monroe, MI",45498,149.592,6806075,57.797,33780,5598240,37423.39163,1.955,2.335,,,2,2,3,2,2,4,0,0,0
"Montgomery, AL","Montgomery, AL",41592,374.042,15557315,228.227,33860,15949874,42641.93326,1.3725,1.495,-0.991755,3.5814338,2,2,3,2,3,3,0,0,0
"Morgantown, WV","Morgantown, WV",40728,139.739,5691282,86.031,34060,6814633,48766.86537,1.1175,1.2325,,,1,2,1,1,1,1,0,0,0
"Morristown, TN","Morristown, TN",34280,140.967,4832342,66.904,34100,4544914,32240.97839,1.4,1.525,,,2,3,3,2,3,3,0,0,0
"Mount Vernon-Anacortes, WA","Mount Vernon-Anacortes, WA",50119,126.026,6316247,69.176,34580,7122050,56512.54503,1.955,2.335,,,2,3,4,2,3,3,0,0,0
"Muncie, IN","Muncie, IN",35713,115.389,4120845,60.37,34620,3827953,33174.33204,0.51,1.02,,,2,3,3,2,2,2,0,0,0
"Muskegon, MI","Muskegon, MI",37207,173.656,6461284,81.297,34740,5922919,34107.19468,1.1775,1.2875,,,2,3,4,2,3,4,0,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",37565,463.386,17407041,231.531,34820,14573758,31450.579,2.57,,-0.8307686,1.8298993,1,2,2,2,2,3,0,0,0
"Napa, CA","Napa, CA",69791,140.386,9797716,104.814,34900,9506546,67717.19402,1.81,2.1,,,1,1,1,1,1,1,1,0,0
"Naples-Marco Island, FL","Naples-Immokalee-Marco Island, FL",87092,372.345,32428403,222.912,34940,15140542,40662.67037,2.4525,2.57,0.28914294,1.2103633,2,3,3,2,3,3,1,0,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",55382,1875.736,103882532,1328.037,34980,113138597,60316.90867,1.315,1.43,-0.40588725,2.2373788,2,3,3,2,3,4,0,0,0
"New Bern, NC","New Bern, NC",41547,125.01,5193736,67.648,35100,4732591,37857.69938,1.8825,2.2175,,,1,2,2,1,1,1,0,0,0
"New Haven-Milford, CT","New Haven-Milford, CT",53605,857.794,45981789,507.383,35300,47266161,55101.99535,1.3425,1.46,0.19096313,0.97508156,1,2,2,1,1,1,0,0,0
"New Orleans-Metairie, LA","New Orleans-Metairie, LA",49799,1270.465,63267329,801.449,35380,72614343,57155.72094,1.315,1.43,-1.2392069,0.80832744,1,2,1,2,1,2,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",72951,19325.698,1409827684,12604.575,35620,1508145135,78038.32674,1.14,1.26,0.5402692,1.1187004,1,2,1,2,2,1,1,0,0
"Niles, MI","Niles-Benton Harbor, MI",45651,154.362,7046806,83.707,35660,6828838,44239.11325,1.3725,1.495,-0.42084888,2.0585573,2,2,2,2,2,3,0,0,0
"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",53730,805.139,43260349,435.243,35840,29166615,36225.56478,2.1,2.57,0.9218807,0.9216967,2,3,3,2,3,4,0,0,0
"Norwich-New London, CT","Norwich-New London, CT",56545,267.826,15144163,167.734,35980,16914681,63155.48528,1.145,1.26,0.45581627,1.4649011,2,3,4,2,3,4,1,0,0
"Ocala, FL","Ocala, FL",35719,353.717,12634266,150.635,36100,8922757,25225.69455,2.1,2.57,2.2292984,1.7342399,2,3,3,2,3,3,0,0,0
"Ocean City, NJ","Ocean City, NJ",57976,93.184,5402435,61.744,36140,4757727,51057.33817,2.335,2.57,,,2,3,4,1,1,1,1,0,0
"Odessa, TX","Odessa, TX",42548,157.173,6687437,95.572,36220,11722833,74585.5395,0.51,1.02,,,2,3,3,1,1,1,0,0,0
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",41795,664.589,27776744,358.258,36260,25098089,37764.82759,2.1,2.57,,,2,3,4,2,3,4,0,0,0
"Oklahoma City, OK","Oklahoma City, OK",45951,1383.249,63561386,869.931,36420,77302505,55884.73586,1.205,1.315,-0.3716212,3.2940452,2,2,3,2,2,4,0,0,0
"Olympia-Lacey-Tumwater, WA","Olympia-Tumwater, WA",48820,280.289,13683817,150.093,36500,11737238,41875.48566,2.1,2.57,0.574029,1.7508687,2,3,4,1,1,1,0,0,0
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",55229,932.217,51485749,632.842,36540,55649803,59696.18984,1.205,1.315,-0.55850136,3.470304,1,2,1,1,1,1,0,0,0
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",41748,2512.917,104909584,1651.404,36740,119246663,47453.48255,1.43,1.56,0.31624892,1.1201638,2,3,3,2,3,4,0,0,0
"Oshkosh-Neenah, WI","Oshkosh-Neenah, WI",46131,170.375,7859570,116.298,36780,9131319,53595.41599,0.51,1.02,,,1,2,2,2,2,2,0,0,0
"Owensboro, KY","Owensboro, KY",40016,118.543,4743650,67.869,36980,5150432,43447.79531,1.1175,1.2325,,,2,3,3,2,3,3,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",58761,850.802,49994234,466.151,37100,52776068,62030.96373,2.57,,1.2058959,0.7495063,1,1,1,1,1,1,1,0,0
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",43371,588.265,25513929,292.233,37340,22465459,38189.35174,1.72,1.955,0.4130658,0.9328778,2,3,3,2,3,3,0,0,0
"Panama City, FL","Panama City, FL",41499,184.046,7637747,108.405,37460,7463278,40551.15569,1.495,1.64,,,2,3,3,2,3,3,0,0,0
"Parkersburg-Vienna, WV","Parkersburg-Vienna, WV",39010,90.873,3544962,47.506,37620,3356685,36938.19947,1.1175,1.2325,-0.6653284,2.51822,2,3,3,2,2,3,0,0,0
"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL",41592,487.327,20268694,248.415,37860,17431830,35770.29387,1.955,2.335,-0.8569118,1.4766289,2,3,4,2,3,4,0,0,0
"Peoria, IL","Peoria, IL",45851,406.905,18657019,224.827,37900,22012933,54098.45787,0.8925,1.1175,-0.37754768,3.227832,2,3,4,2,2,4,0,0,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",61094,6078.451,371354629,3793.735,37980,388791070,63962.1953,1.315,1.43,1.126679,1.6450509,1,2,2,2,2,1,1,0,0
"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Scottsdale, AZ",44208,4761.694,210503331,2701.966,38060,217895725,45760.12759,1.675,1.8825,0.61092466,1.6135566,1,2,1,2,2,4,0,0,0
"Pine Bluff, AR","Pine Bluff, AR",33224,90.923,3020818,43.021,38220,3344188,36780.44059,0.6375,1.0525,-1.7647055,12.148008,2,3,3,2,2,3,0,0,0
"Pittsburgh, PA","Pittsburgh, PA",54471,2330.283,126933158,1479.693,38300,134322913,57642.31769,0.765,1.085,0.09829904,1.204991,1,2,2,1,1,1,0,0,0
"Pittsfield, MA","Pittsfield, MA",54135,126.485,6847305,85.969,38340,6563795,51893.86093,1.1775,1.2875,-0.60347074,2.704568,1,2,2,2,2,4,0,0,0
"Pocatello, ID","Pocatello, ID",36884,93.289,3440825,52.135,38540,3072557,32935.89812,1.64,1.8375,-0.5609774,3.6492124,1,2,2,1,1,1,0,0,1
"Portland-South Portland, ME","Portland-South Portland, ME",54914,532.28,29229661,377.393,38860,27521358,51704.66296,1.72,1.955,0.7431564,1.4235411,2,3,4,2,3,4,0,0,0
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",54014,2456.462,132683509,1572.32,38900,143680585,58490.8641,1.63,1.81,0.2674773,1.0669582,2,3,3,2,3,4,0,0,0
"Port St. Lucie, FL","Port St. Lucie, FL",51824,473.192,24522711,218.465,38940,14844261,31370.48175,2.57,,0.44561318,1.1887226,2,3,4,2,2,4,0,0,0
"Prescott Valley-Prescott, AZ","Prescott, AZ",38381,228.055,8753027,99.201,39150,6263132,27463.25229,2.57,,,,2,3,3,2,2,4,0,0,0
"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",52147,1617.057,84324547,941.495,39300,76611155,47376.90446,1.595,1.765,1.8920596,1.6055467,2,3,3,2,3,4,0,0,0
"Provo-Orem, UT","Provo-Orem, UT",38802,617.751,23969840,351.448,39340,23037069,37291.83603,1.955,2.335,0.20841809,1.2173239,2,3,4,2,3,3,0,0,0
"Pueblo, CO","Pueblo, CO",37540,166.426,6247636,80.347,39380,5936817,35672.41296,1.63,1.81,,,1,2,2,2,3,4,0,0,0
"Punta Gorda, FL","Punta Gorda, FL",39868,181.537,7237457,71.596,39460,4518513,24890.31437,2.57,,,,2,3,3,2,3,4,0,0,0
"Racine, WI","Racine, WI",47419,195.949,9291789,95.407,39540,8206941,41883.0461,1.56,1.72,-0.21236911,1.7746772,1,2,2,1,2,2,0,0,0
"Raleigh, NC","Raleigh, NC",52219,1334.342,69678276,847.287,39580,71856766,53851.83559,1.72,1.955,0.63762254,2.109414,1,2,2,1,1,1,0,0,0
"Rapid City, SD","Rapid City, SD",47885,138.203,6617799,92.669,39660,5793802,41922.404,1.63,1.81,-0.73510665,3.8213954,2,3,3,2,3,4,0,0,0
"Reading, PA","Reading, PA",47412,417.524,19795515,225.937,39740,17911239,42898.70522,1.26,1.37,0.5510229,2.0302742,2,2,2,1,1,1,0,0,0
"Redding, CA","Redding, CA",44480,179.539,7985961,90.997,39820,7635618,42529.02155,1.8825,2.2175,0.027869297,1.8249019,1,1,1,1,1,1,0,0,0
"Reno, NV","Reno, NV",56120,461.336,25890156,302.436,39900,24833406,53829.32613,1.72,1.955,-0.30601346,1.3864645,1,2,1,2,2,3,0,0,0
"Richmond, VA","Richmond, VA",55282,1269.478,70179218,851.572,40060,74128689,58393.04738,1.46,1.595,-0.37779462,2.5996091,1,2,2,2,3,3,0,0,0
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",38821,4570.427,177428094,2061.135,40140,159582093,34916.23277,2.57,,0.5258856,0.9431942,1,1,1,1,1,1,0,0,0
"Roanoke, VA","Roanoke, VA",45076,313.488,14130719,197.07,40220,14791179,47182.60029,1.4,1.525,-0.55422455,2.026449,1,2,2,2,1,3,0,0,0
"Rochester, MN","Rochester, MN",51971,217.828,11320741,150.559,40340,12078681,55450.54355,1.085,1.205,,,2,2,3,1,1,1,0,0,0
"Rochester, NY","Rochester, NY",49625,1071.589,53177211,651.967,40380,56587691,52807.27126,1.02,1.15,-0.057178676,1.4036162,1,1,2,1,1,1,0,0,0
"Rockford, IL","Rockford, IL",42121,338.252,14247623,183.852,40420,14251552,42132.9423,0.8925,1.1175,-0.5298573,3.684496,1,2,1,1,1,1,0,0,0
"Rocky Mount, NC","Rocky Mount, NC",37764,146.769,5542645,73.568,40580,9095290,61970.10268,1.43,1.56,-0.5157553,3.0798628,1,2,2,1,1,1,0,0,0
"Rome, GA","Rome, GA",37003,97.427,3605099,53.013,40660,3778121,38778.9935,1.085,1.205,,,2,3,4,2,3,3,0,0,0
"Sacramento-Roseville-Folsom, CA","Sacramento--Roseville--Arden-Arcade, CA",54010,2320.381,125324628,1342.266,40900,124292926,53565.74028,1.81,2.1,,,1,1,1,1,1,1,0,0,0
"Saginaw, MI","Saginaw, MI",37286,191.996,7158836,107.633,40980,7943763,41374.6276,0.6375,1.0525,-0.011556488,2.2259817,2,3,4,2,3,3,0,0,0
"St. Cloud, MN","St. Cloud, MN",44679,198.106,8851230,138.137,41060,9473689,47821.31283,1.085,1.205,-0.114927515,2.561532,2,3,4,2,1,1,0,0,0
"St. George, UT","St. George, UT",36809,165.859,6105133,94.833,41100,5116834,30850.50555,2.1,2.57,,,1,1,1,1,1,1,0,1,1
"St. Joseph, MO-KS","St. Joseph, MO-KS",37934,126.598,4802388,72.88,41140,5096338,40256.0704,0.6375,1.0525,-1.5072727,7.939646,2,3,3,2,2,4,0,0,0
"St. Louis, MO-IL","St. Louis, MO-IL",52944,2805.85,148554261,1776.914,41180,147633364,52616.27101,1.26,1.3725,-0.7286122,2.3558264,2,2,3,2,2,4,0,0,0
"Salem, OR","Salem, OR",40811,424.968,17343161,221.909,41420,15672140,36878.40026,1.595,1.765,0.40532306,1.6449219,2,3,3,2,1,3,0,0,0
"Salinas, CA","Salinas, CA",53989,435.477,23511124,249.641,41500,25149109,57750.71703,1.8825,2.2175,0.28531894,1.100336,2,3,3,2,3,3,0,0,0
"Salisbury, MD-DE","Salisbury, MD-DE",46722,404.067,18878866,219.877,41540,21898288,54194.69543,2.1,2.57,,,1,1,1,1,1,1,0,0,0
"Salt Lake City, UT","Salt Lake City, UT",49048,1205.238,59114954,921.723,41620,79689409,66119.23039,1.205,1.315,-0.030384822,0.74531084,1,1,1,1,1,1,0,0,0
