MSA,MSA_old,PINCPC,POP,PINC,EMP,cbsa,RGDP,RGDPPC,D2I_Low,D2I_H,WRLURI,elasticity,FE_Y_G2,FE_Y_G3,FE_Y_G4,FE_NoY_G2,FE_NoY_G3,FE_NoY_G4,PINCPC_Top10,FE_Y_PoorG3_1,FE_NoY_PoorG3_1
"Barnstable Town, MA","Barnstable Town, MA",70777,213.482,15109606,152.68,12700,12192071,57110.53391,2.2175,2.57,4.312253,1.0065495,1,2,1,1,1,1,1,0,0
"Baton Rouge, LA","Baton Rouge, LA",45865,853.762,39158059,530.726,12940,49456680,57927.94713,1.205,1.315,-0.813082,1.7378802,2,3,3,2,2,4,0,0,0
"Battle Creek, MI","Battle Creek, MI",38608,134.358,5187262,70.88,12980,5609810,41752.70546,0.765,1.085,,,2,3,4,2,2,4,0,0,0
"Bay City, MI","Bay City, MI",40192,104.189,4187549,46.766,13020,3468934,33294.62803,1.4,1.525,,,2,3,4,2,3,4,0,0,0
"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX",42728,398.686,17035245,210.78,13140,28069251,70404.40597,0.51,1.02,-0.6372842,2.4948409,1,2,3,1,1,1,0,0,0
"Beckley, WV","Beckley, WV",36477,118.639,4327543,53.715,13220,3746074,31575.40101,1.4,1.525,,,2,2,2,2,2,2,0,0,0
"Bellingham, WA","Bellingham, WA",46719,221.65,10355271,126.487,13380,13306016,60031.65351,1.955,2.335,,,2,3,4,2,3,3,0,0,0
"Bend, OR","Bend-Redmond, OR",53033,186.807,9906980,126.915,13460,7892078,42247.22842,2.1,2.57,,,2,3,4,1,1,1,0,0,0
"Billings, MT","Billings, MT",49558,179.372,8889336,120.39,13740,9565917,53330.04594,1.56,1.72,-0.1934254,3.06213,2,2,2,1,2,1,0,0,0
"Binghamton, NY","Binghamton, NY",43201,241.609,10437731,127.064,13780,10724610,44388.28852,1.02,1.15,-0.80459076,2.2594266,1,1,1,1,1,1,0,0,0
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",48618,1085.75,52786758,658.141,13820,54192007,49912.04881,1.315,1.43,-0.23494875,2.144764,2,3,3,2,3,4,0,0,0
"Bismarck, ND","Bismarck, ND",54507,128.001,6976961,94.103,13900,6882276,53767.36119,1.315,1.43,-0.3023023,3.464907,2,3,4,2,3,3,0,0,0
"Blacksburg-Christiansburg, VA","Blacksburg-Christiansburg-Radford, VA",36723,166.907,6129292,87.847,13980,6766394,40539.90546,1.2875,1.4,,,1,2,2,1,1,3,0,0,1
"Bloomington, IL","Bloomington, IL",47247,172.845,8166372,112.014,14010,11826318,68421.52217,0.99,1.2,-0.20057786,3.4024215,1,2,2,2,2,1,0,0,0
"Bloomington, IN","Bloomington, IN",40079,167.513,6713796,97.365,14020,6420432,38327.96261,1.2325,1.3425,,,1,2,2,1,1,1,0,0,0
"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA",43692,83.924,3666836,52.947,14100,3962275,47212.65669,0.51,1.02,,,1,1,1,1,1,1,0,0,0
"Boise City, ID","Boise City, ID",44062,710.08,31287639,428.223,14260,29709413,41839.52935,1.765,2.0275,-0.4626847,1.6927996,1,2,2,1,1,1,0,0,0
"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH",74779,4844.597,362272886,3618.955,14460,399360729,82434.25181,1.1725,1.2875,1.7025069,0.8581065,1,1,1,1,1,1,1,0,0
