"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"23900","Gettysburg, PA (Metropolitan Statistical Area)",3476444
"24020","Glens Falls, NY (Metropolitan Statistical Area)",5367379
"24140","Goldsboro, NC (Metropolitan Statistical Area)",4702700
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",4980504
"24260","Grand Island, NE (Metropolitan Statistical Area)",3793270
"24300","Grand Junction, CO (Metropolitan Statistical Area)",5970021
"24340","Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",53368797
"24420","Grants Pass, OR (Metropolitan Statistical Area)",2454025
"24500","Great Falls, MT (Metropolitan Statistical Area)",3644181
"24540","Greeley, CO (Metropolitan Statistical Area) *",18767550
"24580","Green Bay, WI (Metropolitan Statistical Area)",18271480
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",37721468
"24780","Greenville, NC (Metropolitan Statistical Area)",7719111
"24860","Greenville-Anderson, SC (Metropolitan Statistical Area)",39816849
"25060","Gulfport-Biloxi, MS (Metropolitan Statistical Area)",16951069
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",10140729
"25220","Hammond, LA (Metropolitan Statistical Area)",3863443
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",5481134
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",35022725
"25500","Harrisonburg, VA (Metropolitan Statistical Area) *",6058956
"25540","Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",89872056
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",5818906
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",13716423
"25940","Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",7299580
"25980","Hinesville, GA (Metropolitan Statistical Area)",3323217
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",3414707
"26300","Hot Springs, AR (Metropolitan Statistical Area)",3003768
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",9201863
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",432329249
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",14475058
"26620","Huntsville, AL (Metropolitan Statistical Area)",24113355
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",6200669
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",122143721
"26980","Iowa City, IA (Metropolitan Statistical Area)",9364567
"27060","Ithaca, NY (Metropolitan Statistical Area)",5355968
"27100","Jackson, MI (Metropolitan Statistical Area)",5525960
"27140","Jackson, MS (Metropolitan Statistical Area)",25053951
"27180","Jackson, TN (Metropolitan Statistical Area)",7384394
"27260","Jacksonville, FL (Metropolitan Statistical Area)",71661716
"27340","Jacksonville, NC (Metropolitan Statistical Area)",8005278
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",6634276
"27620","Jefferson City, MO (Metropolitan Statistical Area)",6468973
"27740","Johnson City, TN (Metropolitan Statistical Area)",6805407
"27780","Johnstown, PA (Metropolitan Statistical Area)",4455663
"27860","Jonesboro, AR (Metropolitan Statistical Area)",4463753
"27900","Joplin, MO (Metropolitan Statistical Area)",7030145
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",9073660
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",12087272
"28100","Kankakee, IL (Metropolitan Statistical Area)",4366489
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",117992341
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",13583256
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",16523551
"28700","Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",11775436
"28740","Kingston, NY (Metropolitan Statistical Area)",6184371
"28940","Knoxville, TN (Metropolitan Statistical Area)",37689515
"29020","Kokomo, IN (Metropolitan Statistical Area)",5268619
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",6817787
"29180","Lafayette, LA (Metropolitan Statistical Area)",20970840
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",9241476
"29340","Lake Charles, LA (Metropolitan Statistical Area)",15880707
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",4900560
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",21816610
"29540","Lancaster, PA (Metropolitan Statistical Area)",25768354
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",21810294
"29700","Laredo, TX (Metropolitan Statistical Area)",12794056
"29740","Las Cruces, NM (Metropolitan Statistical Area)",6712348
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",101392420
"29940","Lawrence, KS (Metropolitan Statistical Area)",4404306
"30020","Lawton, OK (Metropolitan Statistical Area)",4512201
"30140","Lebanon, PA (Metropolitan Statistical Area)",5473599
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",2515313
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",4147966
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",25865000
"30620","Lima, OH (Metropolitan Statistical Area)",7249480
"30700","Lincoln, NE (Metropolitan Statistical Area)",17029139
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",33865487
"30860","Logan, UT-ID (Metropolitan Statistical Area)",4983857
"30980","Longview, TX (Metropolitan Statistical Area)",15519519
"31020","Longview, WA (Metropolitan Statistical Area)",4351020
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",912491020
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",62960211
"31180","Lubbock, TX (Metropolitan Statistical Area)",12693422
"31340","Lynchburg, VA (Metropolitan Statistical Area) *",9248387
"31420","Macon-Bibb County, GA (Metropolitan Statistical Area)",10088993
"31460","Madera, CA (Metropolitan Statistical Area)",6658105
"31540","Madison, WI (Metropolitan Statistical Area)",45492200
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",24782415
"31740","Manhattan, KS (Metropolitan Statistical Area)",6308970
"31860","Mankato, MN (Metropolitan Statistical Area)",5537542
"31900","Mansfield, OH (Metropolitan Statistical Area)",4324887
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",20381184
"32780","Medford, OR (Metropolitan Statistical Area)",7957275
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",66457886
"32900","Merced, CA (Metropolitan Statistical Area)",9504388
"33100","Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",306141923
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",3848432
"33220","Midland, MI (Metropolitan Statistical Area)",4882666
"33260","Midland, TX (Metropolitan Statistical Area)",28703870
"33340","Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",90473698
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",231078542
"33540","Missoula, MT (Metropolitan Statistical Area)",4844547
"33660","Mobile, AL (Metropolitan Statistical Area)",18417975
"33700","Modesto, CA (Metropolitan Statistical Area)",21993425
"33740","Monroe, LA (Metropolitan Statistical Area)",8411633
"33780","Monroe, MI (Metropolitan Statistical Area)",5598240
"33860","Montgomery, AL (Metropolitan Statistical Area)",15949874
"34060","Morgantown, WV (Metropolitan Statistical Area)",6814633
"34100","Morristown, TN (Metropolitan Statistical Area)",4544914
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",7122050
"34620","Muncie, IN (Metropolitan Statistical Area)",3827953
"34740","Muskegon, MI (Metropolitan Statistical Area)",5922919
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",14573758
"34900","Napa, CA (Metropolitan Statistical Area)",9506546
"34940","Naples-Marco Island, FL (Metropolitan Statistical Area)",15140542
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",113138597
"35100","New Bern, NC (Metropolitan Statistical Area)",4732591
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",47266161
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",72614343
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1508145135
"35660","Niles, MI (Metropolitan Statistical Area)",6828838
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",29166615
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",16914681
"36100","Ocala, FL (Metropolitan Statistical Area)",8922757
"36140","Ocean City, NJ (Metropolitan Statistical Area)",4757727
"36220","Odessa, TX (Metropolitan Statistical Area)",11722833
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",25098089
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",77302505
"36500","Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",11737238
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",55649803
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",119246663
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",9131319
"36980","Owensboro, KY (Metropolitan Statistical Area)",5150432
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",52776068
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",22465459
"37460","Panama City, FL (Metropolitan Statistical Area)",7463278
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3356685
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",17431830
"37900","Peoria, IL (Metropolitan Statistical Area)",22012933
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",388791070
"38060","Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",217895725
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",3344188
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",134322913
"38340","Pittsfield, MA (Metropolitan Statistical Area)",6563795
"38540","Pocatello, ID (Metropolitan Statistical Area)",3072557
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)",27521358
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",143680585
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)",14844261
"39100","Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",27492574
"39150","Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",6263132
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)",76611155
"39340","Provo-Orem, UT (Metropolitan Statistical Area)",23037069
"39380","Pueblo, CO (Metropolitan Statistical Area)",5936817
"39460","Punta Gorda, FL (Metropolitan Statistical Area)",4518513
"39540","Racine, WI (Metropolitan Statistical Area)",8206941
"39580","Raleigh-Cary, NC (Metropolitan Statistical Area)",71856766
"39660","Rapid City, SD (Metropolitan Statistical Area)",5793802
"39740","Reading, PA (Metropolitan Statistical Area)",17911239
"39820","Redding, CA (Metropolitan Statistical Area)",7635618
"39900","Reno, NV (Metropolitan Statistical Area)",24833406
"40060","Richmond, VA (Metropolitan Statistical Area) *",74128689
"40140","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",159582093
"40220","Roanoke, VA (Metropolitan Statistical Area) *",14791179
"40340","Rochester, MN (Metropolitan Statistical Area)",12078681
"40380","Rochester, NY (Metropolitan Statistical Area)",56587691
"40420","Rockford, IL (Metropolitan Statistical Area)",14251552
"40580","Rocky Mount, NC (Metropolitan Statistical Area)",9095290
"40660","Rome, GA (Metropolitan Statistical Area)",3778121
"40900","Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",124292926
"40980","Saginaw, MI (Metropolitan Statistical Area)",7943763
"41060","St. Cloud, MN (Metropolitan Statistical Area)",9473689
"41100","St. George, UT (Metropolitan Statistical Area)",5116834
"41140","St. Joseph, MO-KS (Metropolitan Statistical Area)",5096338
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)",147633364
"41420","Salem, OR (Metropolitan Statistical Area)",15672140
"41500","Salinas, CA (Metropolitan Statistical Area)",25149109
"41540","Salisbury, MD-DE (Metropolitan Statistical Area)",21898288
"41620","Salt Lake City, UT (Metropolitan Statistical Area)",79689409
"41660","San Angelo, TX (Metropolitan Statistical Area)",7357518
"41700","San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",115793452
"41740","San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",210693896
"41860","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",472872746
"41940","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",289710772
"42020","San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",16138584
"42100","Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",13520021
"42140","Santa Fe, NM (Metropolitan Statistical Area)",5748226
"42200","Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",26861059
"42220","Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",27421167
"42340","Savannah, GA (Metropolitan Statistical Area)",18839697
"42540","Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",25497710
"42660","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",332835662
"42680","Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",5130162
"42700","Sebring-Avon Park, FL (Metropolitan Statistical Area)",2547217
"43100","Sheboygan, WI (Metropolitan Statistical Area)",6619831
"43300","Sherman-Denison, TX (Metropolitan Statistical Area)",4475124
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)",22104981
"43420","Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",4259736
"43580","Sioux City, IA-NE-SD (Metropolitan Statistical Area)",7495029
"43620","Sioux Falls, SD (Metropolitan Statistical Area)",17267303
"43780","South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",13096715
"43900","Spartanburg, SC (Metropolitan Statistical Area)",13125872
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",23558813
"44100","Springfield, IL (Metropolitan Statistical Area)",10377290
"44140","Springfield, MA (Metropolitan Statistical Area)",30181745
"44180","Springfield, MO (Metropolitan Statistical Area)",17629924
"44220","Springfield, OH (Metropolitan Statistical Area)",4352218
"44300","State College, PA (Metropolitan Statistical Area)",7926572
"44420","Staunton, VA (Metropolitan Statistical Area) *",4842978
"44700","Stockton, CA (Metropolitan Statistical Area)",28027041
"44940","Sumter, SC (Metropolitan Statistical Area)",4251788
"45060","Syracuse, NY (Metropolitan Statistical Area)",36412174
"45220","Tallahassee, FL (Metropolitan Statistical Area)",15837439
"45300","Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",137030695
"45460","Terre Haute, IN (Metropolitan Statistical Area)",7166368
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)",5122467
"45540","The Villages, FL (Metropolitan Statistical Area)",2397299
"45780","Toledo, OH (Metropolitan Statistical Area)",34029973
"45820","Topeka, KS (Metropolitan Statistical Area)",9849673
"45940","Trenton-Princeton, NJ (Metropolitan Statistical Area)",27815178
"46060","Tucson, AZ (Metropolitan Statistical Area)",38636977
"46140","Tulsa, OK (Metropolitan Statistical Area)",51847954
"46220","Tuscaloosa, AL (Metropolitan Statistical Area)",9678717
"46300","Twin Falls, ID (Metropolitan Statistical Area)",4493510
"46340","Tyler, TX (Metropolitan Statistical Area)",9904909
"46520","Urban Honolulu, HI (Metropolitan Statistical Area)",59924134
"46540","Utica-Rome, NY (Metropolitan Statistical Area)",11789161
"46660","Valdosta, GA (Metropolitan Statistical Area)",4940605
"46700","Vallejo, CA (Metropolitan Statistical Area)",22841474
"47020","Victoria, TX (Metropolitan Statistical Area)",4854105
"47220","Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",5954454
"47260","Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",87801252
"47300","Visalia, CA (Metropolitan Statistical Area)",17773212
"47380","Waco, TX (Metropolitan Statistical Area)",12297931
"47460","Walla Walla, WA (Metropolitan Statistical Area)",2995360
"47580","Warner Robins, GA (Metropolitan Statistical Area)",6797329
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",471918848
"47940","Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",8638962
"48060","Watertown-Fort Drum, NY (Metropolitan Statistical Area)",5929646
"48140","Wausau-Weston, WI (Metropolitan Statistical Area)",8906420
"48260","Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",5618342
"48300","Wenatchee, WA (Metropolitan Statistical Area)",5937499
"48540","Wheeling, WV-OH (Metropolitan Statistical Area)",11959848
"48620","Wichita, KS (Metropolitan Statistical Area)",31780917
"48660","Wichita Falls, TX (Metropolitan Statistical Area)",5923886
"48700","Williamsport, PA (Metropolitan Statistical Area)",6569871
"48900","Wilmington, NC (Metropolitan Statistical Area)",12991240
"49020","Winchester, VA-WV (Metropolitan Statistical Area) *",5809606
"49180","Winston-Salem, NC (Metropolitan Statistical Area)",29500651
"49340","Worcester, MA-CT (Metropolitan Statistical Area)",44399035
"49420","Yakima, WA (Metropolitan Statistical Area)",9618897
"49620","York-Hanover, PA (Metropolitan Statistical Area)",18301760
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",19799479
"49700","Yuba City, CA (Metropolitan Statistical Area)",6313586
"49740","Yuma, AZ (Metropolitan Statistical Area)",7783381
"Legend / Footnotes:"
"1/ Real GDP is in thousands of chained 2012 dollars. Industry detail is based on the 2012 North American Industry Classification System (NAICS)."
"* Broomfield County, CO, was created from parts of Adams, Boulder, Jefferson, and Weld counties effective November 15, 2001. Estimates for Broomfield county begin with 2002."
